candidate,n_stubs,depth_scale,width_scale,seed_offset,fabrication_valid,f3db_thz,pass_avg_s21_db,pass_min_s21_db,pass_ripple_db,pass_avg_s11_db,edge_avg_s21_db,stop_avg_s21_db,stop_max_s21_db,monotonic_violation_db,score
SWEEP_0040,7,1.04,1.0,1,True,0.7700676099877776,-0.2740912631993121,-1.0631220439742544,0.9618023156469119,-20.369447979756774,-16.308366056273112,-3.9179408289465387,-0.5115475600958312,11.046362086918329,-8.508768702144337
SWEEP_0041,7,1.04,1.25,0,True,0.7435229810014945,-0.24272442258049315,-0.42377453447903973,0.31691503061703985,-18.326131044494257,-23.40174217593734,-8.778129957920312,-0.5757365622631121,11.639329816556211,-10.164335402029387
SWEEP_0042,7,1.04,1.25,1,True,0.7780095403255209,-0.40878937526146253,-2.013588526707668,1.9067567681011854,-18.493862573498994,-22.842542281730726,-4.803479239560899,-0.32952586832665526,2.3102350557241675,-7.963199960655605
SWEEP_0043,7,1.12,0.75,0,True,0.7227586267076228,-0.24498398528291024,-0.6187046571563203,0.5171476978977431,-20.180262545776866,-23.49732400246242,-3.226035530184548,-0.4047513781902239,26.559894919486492,-17.098511498690105
SWEEP_0044,7,1.12,0.75,1,True,0.659830386513462,-0.6091405368736955,-3.391487397088711,3.272425781121533,-15.209341305510224,-6.897109284957249,-9.388401857743824,-1.7993845791636551,5.804006954990644,-17.321162077680277
SWEEP_0045,7,1.12,1.0,0,True,0.717956644519744,-0.24411030420119686,-0.56055048914399,0.4545103700833195,-20.210618847278585,-28.747776092464786,-3.6977889178567938,-0.4335343679316511,30.48087637096087,-19.29826496454305
SWEEP_0046,7,1.12,1.0,1,True,0.7274840014394999,-0.31920890262280305,-1.2923453930173765,1.1907019959188436,-19.64919892915224,-13.365077130916958,-3.688008906438712,-0.7373816406043301,18.86896835998588,-13.97770149138058
SWEEP_0047,7,1.12,1.25,0,True,0.7058451510059581,-0.27132202876777334,-0.658087460281359,0.5506221493490555,-17.535442151295985,-28.781148678441095,-6.04514219972292,-0.42597801888257314,11.822202727795712,-12.424206871011211
SWEEP_0048,7,1.12,1.25,1,True,0.7248833231520123,-0.5598444585907378,-2.859426495793515,2.7518226264374257,-17.44399122078832,-24.541596230316287,-3.580208061622009,-0.3440282826653043,23.647412458387564,-21.532353329321232
SWEEP_0049,9,0.88,0.75,0,True,0.9254628479753596,-0.30593858854613676,-1.205539590391249,1.0937543911102567,-17.45613298839155,-3.21656627269788,-13.417053672228116,-0.8142663590581118,0.0,-8.107838733542593
SWEEP_0050,9,0.88,0.75,1,True,0.9607553711047515,-0.2784404817070916,-0.8163430170811654,0.7122011697380024,-17.73412298664707,-3.474218455011347,-13.499327169110048,-0.7216917900993712,0.0,-9.00504940746253
