candidate,stride,length_um,height_um,y_factor,island_count,fabrication_valid,f3db_thz,pass_avg_s21_db,pass_min_s21_db,pass_ripple_db,pass_avg_s11_db,edge_avg_s21_db,stop_avg_s21_db,stop_max_s21_db,stop_coverage_below_10_db,stop_coverage_below_20_db,recovery_peak_db,passband_notch_penalty_db,monotonic_violation_db,score
HYB_0038,4,1.0,0.5,0.72,3,True,0.8184780891844785,-0.2541188140607103,-0.622251811986603,0.5157570355938238,-18.653519238609302,-20.062284636009114,-7.527136474505162,-0.331644969725405,0.2727272727272727,0.2,-0.331644969725405,0.0,57.31059993001904,-28.0866976778779
HYB_0039,4,1.0,0.5,0.82,3,True,0.8184780891844785,-0.2541188140607103,-0.622251811986603,0.5157570355938238,-18.653519238609302,-20.062284636009114,-7.527136474505162,-0.331644969725405,0.2727272727272727,0.2,-0.331644969725405,0.0,57.31059993001904,-28.0866976778779
HYB_0040,4,1.0,1.0,0.62,3,True,0.8184723697866413,-0.2550562712121975,-0.6227105110254698,0.5162283203091704,-18.622543852463682,-20.049499728003227,-7.519503913949253,-0.33087231094596825,0.2727272727272727,0.2,-0.33087231094596825,0.0,57.29798051797355,-28.082023184053213
HYB_0041,4,1.0,1.0,0.72,3,True,0.8184723697866413,-0.2550562712121975,-0.6227105110254698,0.5162283203091704,-18.622543852463682,-20.049499728003227,-7.519503913949253,-0.33087231094596825,0.2727272727272727,0.2,-0.33087231094596825,0.0,57.29798051797355,-28.082023184053213
HYB_0042,4,1.0,1.0,0.82,3,True,0.8184723697866413,-0.2550562712121975,-0.6227105110254698,0.5162283203091704,-18.622543852463682,-20.049499728003227,-7.519503913949253,-0.33087231094596825,0.2727272727272727,0.2,-0.33087231094596825,0.0,57.29798051797355,-28.082023184053213
HYB_0043,4,2.0,0.5,0.62,3,True,0.8184742974747092,-0.25474223317852696,-0.6225576798213146,0.516071303544961,-18.63286974512678,-20.053802126795713,-7.522058906101006,-0.33112909380615907,0.2727272727272727,0.2,-0.33112909380615907,0.0,57.302293615450395,-28.08362613334464
HYB_0044,4,2.0,0.5,0.72,3,True,0.8184742974747092,-0.25474223317852696,-0.6225576798213146,0.516071303544961,-18.63286974512678,-20.053802126795713,-7.522058906101006,-0.33112909380615907,0.2727272727272727,0.2,-0.33112909380615907,0.0,57.302293615450395,-28.08362613334464
HYB_0045,4,2.0,0.5,0.82,3,True,0.8184742974747092,-0.25474223317852696,-0.6225576798213146,0.516071303544961,-18.63286974512678,-20.053802126795713,-7.522058906101006,-0.33112909380615907,0.2727272727272727,0.2,-0.33112909380615907,0.0,57.302293615450395,-28.08362613334464
HYB_0046,4,2.0,1.0,0.62,3,True,0.8184647243044207,-0.25631380545777427,-0.6233113976416353,0.5168458440316045,-18.58162026798537,-20.032542251963594,-7.509558363903037,-0.3299637486085249,0.2727272727272727,0.2,-0.3299637486085249,0.0,57.28142795060943,-28.075878553640816
HYB_0047,4,2.0,1.0,0.72,3,True,0.8184647243044207,-0.25631380545777427,-0.6233113976416353,0.5168458440316045,-18.58162026798537,-20.032542251963594,-7.509558363903037,-0.3299637486085249,0.2727272727272727,0.2,-0.3299637486085249,0.0,57.28142795060943,-28.075878553640816
HYB_0048,4,2.0,1.0,0.82,3,True,0.8184647243044207,-0.25631380545777427,-0.6233113976416353,0.5168458440316045,-18.58162026798537,-20.032542251963594,-7.509558363903037,-0.3299637486085249,0.2727272727272727,0.2,-0.3299637486085249,0.0,57.28142795060943,-28.075878553640816
HYB_0049,4,3.0,0.5,0.62,3,True,0.8184705162460038,-0.25536700170733345,-0.6228599312797889,0.5163819138012611,-18.612350610616176,-20.045382905790227,-7.517068389166034,-0.33065275948923006,0.2727272727272727,0.2,-0.33065275948923006,0.0,57.293944618314825,-28.08053242129285
HYB_0050,4,3.0,0.5,0.72,3,True,0.8184705162460038,-0.25536700170733345,-0.6228599312797889,0.5163819138012611,-18.612350610616176,-20.045382905790227,-7.517068389166034,-0.33065275948923006,0.2727272727272727,0.2,-0.33065275948923006,0.0,57.293944618314825,-28.08053242129285
HYB_0051,4,3.0,0.5,0.82,3,True,0.8184705162460038,-0.25536700170733345,-0.6228599312797889,0.5163819138012611,-18.612350610616176,-20.045382905790227,-7.517068389166034,-0.33065275948923006,0.2727272727272727,0.2,-0.33065275948923006,0.0,57.293944618314825,-28.08053242129285
HYB_0052,4,3.0,1.0,0.62,3,True,0.818457069481156,-0.2575792646434009,-0.6238995852722,0.5174505018443298,-18.541139786637483,-20.01571721880008,-7.499889166816994,-0.32920213722471997,0.2727272727272727,0.2,-0.32920213722471997,0.0,57.26504390058392,-28.069776368351878
HYB_0053,4,3.0,1.0,0.72,3,True,0.818457069481156,-0.2575792646434009,-0.6238995852722,0.5174505018443298,-18.541139786637483,-20.01571721880008,-7.499889166816994,-0.32920213722471997,0.2727272727272727,0.2,-0.32920213722471997,0.0,57.26504390058392,-28.069776368351878
HYB_0054,4,3.0,1.0,0.82,3,True,0.818457069481156,-0.2575792646434009,-0.6238995852722,0.5174505018443298,-18.541139786637483,-20.01571721880008,-7.499889166816994,-0.32920213722471997,0.2727272727272727,0.2,-0.32920213722471997,0.0,57.26504390058392,-28.069776368351878
